rank,cohort,activity,segment_type,segment,segment_order,participation_rate_pct,estimated_participants
1,Adults 18+,Walking (Recreational),Total,Total,1,50.2,11363621
1,Adults 18+,Walking (Recreational),Gender,Males,2,42.5,4713659
1,Adults 18+,Walking (Recreational),Gender,Females,3,57.8,6603678
1,Adults 18+,Walking (Recreational),Age group,18-24,4,34.2,847416
1,Adults 18+,Walking (Recreational),Age group,25-34,5,41.9,1703592
1,Adults 18+,Walking (Recreational),Age group,35-44,6,47.5,1846165
1,Adults 18+,Walking (Recreational),Age group,45-54,7,58.7,1960969
1,Adults 18+,Walking (Recreational),Age group,55-64,8,66,2041184
1,Adults 18+,Walking (Recreational),Age group,65+,9,55.8,2658020
2,Adults 18+,Fitness/Gym,Total,Total,1,34.1,7719043
2,Adults 18+,Fitness/Gym,Gender,Males,2,33.1,3671867
2,Adults 18+,Fitness/Gym,Gender,Females,3,35.1,4010870
2,Adults 18+,Fitness/Gym,Age group,18-24,4,43.4,1076583
2,Adults 18+,Fitness/Gym,Age group,25-34,5,42.1,1711890
2,Adults 18+,Fitness/Gym,Age group,35-44,6,36.4,1413027
2,Adults 18+,Fitness/Gym,Age group,45-54,7,32.9,1100531
2,Adults 18+,Fitness/Gym,Age group,55-64,8,29.5,912669
2,Adults 18+,Fitness/Gym,Age group,65+,9,23.7,1127691
3,Adults 18+,Bush walking,Total,Total,1,17.5,3953952
3,Adults 18+,Bush walking,Gender,Males,2,16.3,1808265
3,Adults 18+,Bush walking,Gender,Females,3,18.6,2126762
3,Adults 18+,Bush walking,Age group,18-24,4,17.3,429534
3,Adults 18+,Bush walking,Age group,25-34,5,20.3,826183
3,Adults 18+,Bush walking,Age group,35-44,6,21.4,832776
3,Adults 18+,Bush walking,Age group,45-54,7,19.7,658178
3,Adults 18+,Bush walking,Age group,55-64,8,19.5,604298
3,Adults 18+,Bush walking,Age group,65+,9,9.6,455592
4,Adults 18+,Running/jogging,Total,Total,1,16.5,3740484
4,Adults 18+,Running/jogging,Gender,Males,2,19,2104784
4,Adults 18+,Running/jogging,Gender,Females,3,14.2,1618697
4,Adults 18+,Running/jogging,Age group,18-24,4,26.7,660527
4,Adults 18+,Running/jogging,Age group,25-34,5,27.7,1125805
4,Adults 18+,Running/jogging,Age group,35-44,6,20.9,809696
4,Adults 18+,Running/jogging,Age group,45-54,7,15.8,527176
4,Adults 18+,Running/jogging,Age group,55-64,8,8.5,261588
4,Adults 18+,Running/jogging,Age group,65+,9,1.8,87506
5,Adults 18+,Swimming,Total,Total,1,15.4,3483472
5,Adults 18+,Swimming,Gender,Males,2,14.5,1609841
5,Adults 18+,Swimming,Gender,Females,3,16.3,1859588
5,Adults 18+,Swimming,Age group,18-24,4,16.3,404911
5,Adults 18+,Swimming,Age group,25-34,5,16.6,674922
5,Adults 18+,Swimming,Age group,35-44,6,18.3,711006
5,Adults 18+,Swimming,Age group,45-54,7,16.7,556978
5,Adults 18+,Swimming,Age group,55-64,8,16,494315
5,Adults 18+,Swimming,Age group,65+,9,9.7,463563
6,Adults 18+,Cycling,Total,Total,1,8.3,1877339
6,Adults 18+,Cycling,Gender,Males,2,10.4,1157189
6,Adults 18+,Cycling,Gender,Females,3,6.3,714844
6,Adults 18+,Cycling,Age group,18-24,4,5.6,138523
6,Adults 18+,Cycling,Age group,25-34,5,7.1,289821
6,Adults 18+,Cycling,Age group,35-44,6,9.3,359518
6,Adults 18+,Cycling,Age group,45-54,7,11.6,387336
6,Adults 18+,Cycling,Age group,55-64,8,12,369466
